seed,variant,peak_fitness,lifespan,tiles,eat,seeds,final_fitness,ticks_s
1,baseline,100.11,794.6,100.9,4154.0,3112.0,61.545,6.48
1,sched4k,82.99,743.5,77.8,2992.0,2758.0,54.542,5.56
1,sched5k,79.7,743.4,53.1,2754.0,2771.0,59.541,5.52
1,sched6k,50.24,621.1,87.2,543.0,443.0,40.583,6.32
2,baseline,84.49,745.9,80.8,2930.0,2499.0,55.042,6.31
2,sched4k,66.83,684.7,49.6,1424.0,1358.0,55.589,5.07
2,sched5k,74.96,751.5,59.8,2234.0,1673.0,52.83,5.75
2,sched6k,82.7,740.8,80.6,2825.0,2261.0,40.665,6.35
3,baseline,76.97,744.2,57.3,2102.0,2457.0,61.125,7.23
3,sched4k,81.16,765.3,92.4,2385.0,2029.0,62.353,5.35
3,sched5k,77.83,743.5,76.3,2508.0,2235.0,51.822,5.37
3,sched6k,72.97,779.7,77.0,1934.0,1599.0,47.163,5.96
4,baseline,85.06,788.5,95.2,2265.0,2600.0,68.274,7.14
4,sched4k,78.49,762.5,48.2,2671.0,1767.0,62.367,5.1
4,sched5k,66.71,691.6,69.0,1146.0,1243.0,49.938,5.73
4,sched6k,82.73,743.2,92.6,3179.0,3142.0,49.223,6.0
